date,city,latitude,longitude,uv_index
2020-01-02 12:00:00,Bullsbrook,-31.663,116.03,13.66
2020-01-02 12:00:00,Bunbury,-33.3333,115.6333,12.78
2020-01-02 12:00:00,Busselton,-33.6478,115.3458,12.82
2020-01-02 12:00:00,Cannington,-32.0167,115.95,13.32
2020-01-02 12:00:00,Capel,-33.556999999999995,115.57,12.65
2020-01-02 12:00:00,Carnarvon,-24.8672,113.6611,15.32
2020-01-02 12:00:00,Chidlow,-31.857,116.272,13.78
2020-01-02 12:00:00,Collie,-33.363,116.156,12.98
2020-01-02 12:00:00,Cowaramup,-33.85,115.11,12.5
2020-01-02 12:00:00,Dampier,-20.66,116.71,15.31
2020-01-02 12:00:00,Denmark,-34.96,117.3531,12.94
2020-01-02 12:00:00,Derby,-17.3056,123.6339,14.79
2020-01-02 12:00:00,Dongara,-29.250999999999998,114.934,13.9
2020-01-02 12:00:00,Donnybrook,-33.58,115.82,12.8
2020-01-02 12:00:00,Drummond Cove,-28.673000000000002,114.613,13.8
2020-01-02 12:00:00,Dunsborough,-33.6167,115.1,12.51
2020-01-02 12:00:00,Esperance,-33.8611,121.8919,14.34
2020-01-02 12:00:00,Exmouth,-21.9331,114.1281,15.71
2020-01-02 12:00:00,Fitzroy Crossing,-18.1944,125.5667,14.72
2020-01-02 12:00:00,Fremantle,-32.0569,115.7439,13.23
2020-01-02 12:00:00,Geraldton,-28.7744,114.6089,13.8
2020-01-02 12:00:00,Halls Creek,-18.23,127.67,14.81
2020-01-02 12:00:00,Harvey,-33.08,115.89,12.88
2020-01-02 12:00:00,Jarrahdale,-32.339,116.06200000000001,13.42
2020-01-02 12:00:00,Jurien Bay,-30.296999999999997,115.042,13.65
2020-01-02 12:00:00,Kalbarri,-27.71,114.16,13.91
2020-01-02 12:00:00,Kalgoorlie,-30.7489,121.4658,14.48
2020-01-02 12:00:00,Kambalda,-31.2,121.67,14.49
2020-01-02 12:00:00,Kambalda West,-31.2114,121.7129,14.49
2020-01-02 12:00:00,Karratha,-20.7364,116.8464,15.23
2020-01-02 12:00:00,Katanning,-33.6908,117.5553,13.5
2020-01-02 12:00:00,Kojonup,-33.84,117.15,13.27
2020-01-02 12:00:00,Kununurra,-15.7736,128.7386,14.63
2020-01-02 12:00:00,Kwinana,-32.2394,115.7702,13.32
2020-01-02 12:00:00,Leschenault,-33.245,115.735,12.78
2020-01-02 12:00:00,Lesmurdie,-31.994,116.05,13.63
