date,latitude,longitude,uv_index
2020-01-04 12:00:00,-20,116,14.23
2020-01-04 12:00:00,-20,120,14.58
2020-01-04 12:00:00,-20,124,14.48
2020-01-04 12:00:00,-20,128,14.33
2020-01-04 12:00:00,-16,112,15.38
2020-01-04 12:00:00,-16,116,15.33
2020-01-04 12:00:00,-16,120,15.46
2020-01-04 12:00:00,-16,124,14.58
2020-01-04 12:00:00,-16,128,14.27
2020-01-04 12:00:00,-12,112,14.42
2020-01-04 12:00:00,-12,116,14.48
2020-01-04 12:00:00,-12,120,14.8
2020-01-04 12:00:00,-12,124,15.1
2020-01-04 12:00:00,-12,128,14.66
2020-01-05 12:00:00,-36,112,12.16
2020-01-05 12:00:00,-36,116,12.94
2020-01-05 12:00:00,-36,120,12.52
2020-01-05 12:00:00,-36,124,12.44
2020-01-05 12:00:00,-36,128,12.24
2020-01-05 12:00:00,-32,112,13.52
2020-01-05 12:00:00,-32,116,14.25
2020-01-05 12:00:00,-32,120,14.55
2020-01-05 12:00:00,-32,124,13.22
2020-01-05 12:00:00,-32,128,12.46
2020-01-05 12:00:00,-28,112,15.81
2020-01-05 12:00:00,-28,116,14.16
2020-01-05 12:00:00,-28,120,13.03
2020-01-05 12:00:00,-28,124,13.33
2020-01-05 12:00:00,-28,128,13.83
2020-01-05 12:00:00,-24,112,14.45
2020-01-05 12:00:00,-24,116,13.92
2020-01-05 12:00:00,-24,120,14.36
2020-01-05 12:00:00,-24,124,15.27
2020-01-05 12:00:00,-24,128,14.67
2020-01-05 12:00:00,-20,112,13.41
2020-01-05 12:00:00,-20,116,14.89
2020-01-05 12:00:00,-20,120,15.48
2020-01-05 12:00:00,-20,124,15.4
2020-01-05 12:00:00,-20,128,14.85
2020-01-05 12:00:00,-16,112,14.38
2020-01-05 12:00:00,-16,116,14.45
2020-01-05 12:00:00,-16,120,16.37
2020-01-05 12:00:00,-16,124,15.66
2020-01-05 12:00:00,-16,128,14.54
2020-01-05 12:00:00,-12,112,14.83
2020-01-05 12:00:00,-12,116,14.6
2020-01-05 12:00:00,-12,120,14.67
2020-01-05 12:00:00,-12,124,14.95
2020-01-05 12:00:00,-12,128,15.0
2020-01-06 12:00:00,-36,112,12.84
2020-01-06 12:00:00,-36,116,12.27
2020-01-06 12:00:00,-36,120,12.59
2020-01-06 12:00:00,-36,124,12.92
2020-01-06 12:00:00,-36,128,13.82
2020-01-06 12:00:00,-32,112,13.26
2020-01-06 12:00:00,-32,116,13.37
2020-01-06 12:00:00,-32,120,13.8
2020-01-06 12:00:00,-32,124,14.63
2020-01-06 12:00:00,-32,128,14.07
2020-01-06 12:00:00,-28,112,14.8
2020-01-06 12:00:00,-28,116,15.45
2020-01-06 12:00:00,-28,120,14.74
2020-01-06 12:00:00,-28,124,14.02
2020-01-06 12:00:00,-28,128,14.99
2020-01-06 12:00:00,-24,112,13.38
2020-01-06 12:00:00,-24,116,13.19
2020-01-06 12:00:00,-24,120,14.27
2020-01-06 12:00:00,-24,124,15.23
2020-01-06 12:00:00,-24,128,16.52
2020-01-06 12:00:00,-20,112,15.38
2020-01-06 12:00:00,-20,116,15.01
2020-01-06 12:00:00,-20,120,15.63
