date,city,latitude,longitude,uv_index
2020-01-02 12:00:00,Capel,-33.557,115.57,12.65
2020-01-02 12:00:00,Carnarvon,-24.867,113.661,15.32
2020-01-02 12:00:00,Chidlow,-31.857,116.272,13.78
2020-01-02 12:00:00,Collie,-33.363,116.156,12.98
2020-01-02 12:00:00,Cowaramup,-33.85,115.11,12.5
2020-01-02 12:00:00,Dampier,-20.66,116.71,15.31
2020-01-02 12:00:00,Denmark,-34.96,117.353,12.94
2020-01-02 12:00:00,Derby,-17.306,123.634,14.79
2020-01-02 12:00:00,Dongara,-29.251,114.934,13.9
2020-01-02 12:00:00,Donnybrook,-33.58,115.82,12.8
2020-01-02 12:00:00,Drummond Cove,-28.673000000000002,114.613,13.8
2020-01-02 12:00:00,Dunsborough,-33.617,115.1,12.51
2020-01-02 12:00:00,Esperance,-33.861,121.892,14.34
2020-01-02 12:00:00,Exmouth,-21.933,114.128,15.71
2020-01-02 12:00:00,Fitzroy Crossing,-18.194,125.567,14.72
2020-01-02 12:00:00,Fremantle,-32.057,115.744,13.23
2020-01-02 12:00:00,Geraldton,-28.774,114.609,13.8
2020-01-02 12:00:00,Halls Creek,-18.23,127.67,14.81
2020-01-02 12:00:00,Harvey,-33.08,115.89,12.88
2020-01-02 12:00:00,Jarrahdale,-32.339,116.062,13.42
2020-01-02 12:00:00,Jurien Bay,-30.297,115.042,13.65
2020-01-02 12:00:00,Kalbarri,-27.71,114.16,13.91
2020-01-02 12:00:00,Kalgoorlie,-30.749,121.466,14.48
2020-01-02 12:00:00,Kambalda,-31.2,121.67,14.49
2020-01-02 12:00:00,Kambalda West,-31.211,121.713,14.49
2020-01-02 12:00:00,Karratha,-20.736,116.846,15.23
2020-01-02 12:00:00,Katanning,-33.691,117.555,13.5
2020-01-02 12:00:00,Kojonup,-33.84,117.15,13.27
2020-01-02 12:00:00,Kununurra,-15.774000000000001,128.739,14.63
2020-01-02 12:00:00,Kwinana,-32.239,115.77,13.32
2020-01-02 12:00:00,Leschenault,-33.245,115.735,12.78
2020-01-02 12:00:00,Lesmurdie,-31.994,116.05,13.63
2020-01-02 12:00:00,Little Grove,-35.07,117.87,12.94
2020-01-02 12:00:00,Lower Chittering,-31.556,116.087,13.66
2020-01-02 12:00:00,Lower King,-34.958,117.938,13.06
2020-01-02 12:00:00,Mandurah,-32.529,115.723,13.0
2020-01-02 12:00:00,Manjimup,-34.241,116.146,12.78
2020-01-02 12:00:00,Merredin,-31.482,118.279,14.29
2020-01-02 12:00:00,Moora,-30.638,116.01,13.88
2020-01-02 12:00:00,Mount Barker,-34.63,117.667,13.16
2020-01-02 12:00:00,Mundijong,-32.284,115.973,13.32
2020-01-02 12:00:00,Narrogin,-32.936,117.178,13.64
2020-01-02 12:00:00,Newman,-23.354,119.732,14.64
2020-01-02 12:00:00,Northam,-31.653,116.666,13.85
2020-01-02 12:00:00,Nullagine,-21.888,120.107,14.52
2020-01-02 12:00:00,Paraburdoo,-23.201,117.671,15.18
2020-01-02 12:00:00,Perth,-31.952,115.859,13.41
2020-01-02 12:00:00,Pinjarra,-32.63,115.871,13.08
2020-01-02 12:00:00,Port Denison,-29.283,114.917,13.9
2020-01-02 12:00:00,Port Hedland,-20.31,118.601,14.85
2020-01-02 12:00:00,Quindalup,-33.667,115.145,12.51
2020-01-02 12:00:00,Ravenswood,-32.583,115.833,13.08
2020-01-02 12:00:00,Serpentine,-32.365,115.981,13.32
2020-01-02 12:00:00,Tom Price,-22.694,117.795,15.36
2020-01-02 12:00:00,Toodyay,-31.55,116.45,13.81
2020-01-02 12:00:00,Two Rocks,-31.495,115.588,13.44
2020-01-02 12:00:00,Vasse,-33.69,115.3,12.82
2020-01-02 12:00:00,Wagin,-33.317,117.35,13.49
2020-01-02 12:00:00,Waroona,-32.867,115.917,12.96
2020-01-02 12:00:00,Wickham,-20.675,117.14,15.2
2020-01-02 12:00:00,Wooroloo,-31.803,116.314,13.78
2020-01-02 12:00:00,Wundowie,-31.767,116.383,13.78
2020-01-02 12:00:00,Yallingup,-33.64,115.026,12.51
2020-01-02 12:00:00,Yanchep,-31.55,115.634,13.37
2020-01-02 12:00:00,York,-31.888,116.769,13.93
2020-01-02 12:00:00,Yunderup,-32.583,115.8,13.08
2020-01-03 12:00:00,Albany,-35.023,117.881,10.53
2020-01-03 12:00:00,Augusta,-34.312,115.159,10.74
2020-01-03 12:00:00,Australind,-33.279,115.715,11.1
2020-01-03 12:00:00,Bakers Hill,-31.751,116.455,11.75
2020-01-03 12:00:00,Bentley,-32.001,115.924,11.45
2020-01-03 12:00:00,Beverley,-32.109,116.926,11.69
2020-01-03 12:00:00,Bindoon,-31.38,116.097,11.78
2020-01-03 12:00:00,Binningup,-33.149,115.689,11.17
2020-01-03 12:00:00,Boddington,-32.802,116.471,11.45
2020-01-03 12:00:00,Boyanup,-33.486,115.73,11.1
2020-01-03 12:00:00,Bridgetown,-33.958,116.138,10.94
2020-01-03 12:00:00,Broome,-17.962,122.236,14.26
2020-01-03 12:00:00,Bullsbrook,-31.663,116.03,11.7
2020-01-03 12:00:00,Bunbury,-33.333,115.633,11.1
2020-01-03 12:00:00,Busselton,-33.648,115.346,11.12
2020-01-03 12:00:00,Cannington,-32.017,115.95,11.45
2020-01-03 12:00:00,Capel,-33.557,115.57,10.93
2020-01-03 12:00:00,Carnarvon,-24.867,113.661,13.9
2020-01-03 12:00:00,Chidlow,-31.857,116.272,11.75
2020-01-03 12:00:00,Collie,-33.363,116.156,11.17
2020-01-03 12:00:00,Cowaramup,-33.85,115.11,10.85
2020-01-03 12:00:00,Dampier,-20.66,116.71,14.15
2020-01-03 12:00:00,Denmark,-34.96,117.353,10.57
2020-01-03 12:00:00,Derby,-17.306,123.634,14.51
2020-01-03 12:00:00,Dongara,-29.251,114.934,11.57
2020-01-03 12:00:00,Donnybrook,-33.58,115.82,11.0
