date,latitude,longitude,uv-index,max-temperature
2021-01-14 03:00:00,-28,124,14.59,35.48
2021-01-15 03:00:00,-28,124,13.04,24.7
2021-01-16 03:00:00,-28,124,13.97,30.35
2021-01-17 03:00:00,-28,124,14.0,30.44
2021-01-18 03:00:00,-28,124,14.0,31.58
2021-01-19 03:00:00,-28,124,14.0,34.65
2021-01-12 03:00:00,-28,128,14.1,39.33
2021-01-13 03:00:00,-28,128,14.37,39.07
2021-01-14 03:00:00,-28,128,14.41,36.94
2021-01-15 03:00:00,-28,128,8.96,27.63
2021-01-16 03:00:00,-28,128,12.42,23.93
2021-01-17 03:00:00,-28,128,13.0,28.19
2021-01-18 03:00:00,-28,128,13.0,30.47
2021-01-19 03:00:00,-28,128,13.0,33.62
2021-01-12 04:00:00,-24,112,15.38,25.22
2021-01-13 04:00:00,-24,112,15.39,24.94
2021-01-14 04:00:00,-24,112,15.34,26.06
2021-01-15 04:00:00,-24,112,15.32,27.41
2021-01-16 04:00:00,-24,112,15.49,28.08
2021-01-17 04:00:00,-24,112,16.0,28.46
2021-01-18 04:00:00,-24,112,16.0,30.33
2021-01-19 04:00:00,-24,112,16.0,27.27
2021-01-12 04:00:00,-24,116,15.61,41.88
2021-01-13 04:00:00,-24,116,15.74,41.72
2021-01-14 04:00:00,-24,116,15.71,44.08
2021-01-15 04:00:00,-24,116,13.97,43.81
2021-01-16 04:00:00,-24,116,15.8,39.21
2021-01-17 04:00:00,-24,116,16.0,38.25
2021-01-18 04:00:00,-24,116,16.0,39.44
2021-01-19 04:00:00,-24,116,16.0,42.15
2021-01-12 04:00:00,-24,120,15.28,42.0
2021-01-13 04:00:00,-24,120,14.52,42.17
2021-01-14 04:00:00,-24,120,14.41,42.47
2021-01-15 04:00:00,-24,120,14.51,40.71
2021-01-16 04:00:00,-24,120,15.28,35.12
2021-01-17 04:00:00,-24,120,16.0,37.22
2021-01-18 04:00:00,-24,120,16.0,34.66
2021-01-19 04:00:00,-24,120,16.0,38.15
2021-01-12 03:00:00,-24,124,14.95,42.61
2021-01-13 03:00:00,-24,124,14.87,43.56
2021-01-14 03:00:00,-24,124,14.73,43.46
2021-01-15 03:00:00,-24,124,13.59,42.52
2021-01-16 03:00:00,-24,124,15.31,34.29
2021-01-17 03:00:00,-24,124,16.0,37.88
2021-01-18 03:00:00,-24,124,16.0,38.14
2021-01-19 03:00:00,-24,124,16.0,39.01
2021-01-12 03:00:00,-24,128,14.82,41.32
2021-01-13 03:00:00,-24,128,14.98,42.0
2021-01-14 03:00:00,-24,128,14.99,42.0
2021-01-15 03:00:00,-24,128,15.0,41.48
2021-01-16 03:00:00,-24,128,14.98,37.88
